timestamp,active_window,highlight,ocr_text
2026-06-14T20:56:59,Laptop Monitor - Google Chrome,© > © © kexahosts00 Be oF | @ Laptop MONITOR c 9636 | “wale! | Grogeous © pep Montor ws Phemin OX|€> SO Mentorx +» AskGeminix|© © teeosso00 Be oF Sear,© > © © kexahosts00 Be oF | @ Laptop MONITOR c 9636 | “wale! | Grogeous © pep Montor ws Phemin OX|€> SO Mentorx +» AskGeminix|© © teeosso00 Be oF Search or people You ae presetng INTHE | ‘eathoss000 me DIF | @ Laptop MONITOR. 1@ Laptop MONTOR ewe |55P5 $5 metanoieco| MEETING BA Beare et turer ens reed Se) est sen | “Adorcheshin?s |
2026-06-14T20:57:00,Laptop Monitor - Google Chrome,"Prkemii - 9 x | © kexalhost:5000 Ber OF | @ LAPTOP MONITOR C 19656 | oe | me La | schamiendal(ou resenting) | = ""Se Sm jie | AO 9 NOHO noses # | BQe0G","Prkemii - 9 x | © kexalhost:5000 Ber OF | @ LAPTOP MONITOR C 19656 | oe | me La | schamiendal(ou resenting) | = ""Se Sm jie | AO 9 NOHO noses # | BQe0G®@o0Pomeud Gees"
2026-06-14T20:57:04,Laptop Monitor - Google Chrome,¥) © cownassoe X | Met-cpetote — @ x | AMKeys-Goqious % © Uptep Mentor x + Prkemii - 9 x | € > © © becahost5000 Be OF | fl Laptop MONITOR 0: esa | | e,"¥) © cownassoe X | Met-cpetote — @ x | AMKeys-Goqious % © Uptep Mentor x + Prkemii - 9 x | € > © © becahost5000 Be OF | fl Laptop MONITOR 0: esa | | eee | oo ee? | aor Ee | COKE SO Mentone +» Akemi © teo5200 Be | oF Sear ‘ndorceshin’s | | tezeting | =""SeSmje| KO9 NOHO noses | | i] AO 9 NOHO nose #"
2026-06-14T20:57:09,Laptop Monitor - Google Chrome,© % |B AMees- croqcons % © Uptep Mentor x + Prkemii - 9 x | > © becalhoss00 Be oF | @ Laptop MONITOR | Pemi-9x| © keabosts000 Ber FO LAPTOP © | MONITO,© % |B AMees- croqcons % © Uptep Mentor x + Prkemii - 9 x | > © becalhoss00 Be oF | @ Laptop MONITOR | Pemi-9x| © keabosts000 Ber FO LAPTOP © | MONITOR C1965 | 0 |e a schaienaou | 19 © comasoe X|Metcpetote— @ x] AMKeys: | oxjious % © Uptep Mentorx + Femit-9:x|¢> © | {© bechest5000 Be OF Laptop MONITOR 0:3 | 1 © camassoeX| Met opetove— @ x 8 AMKe | ‘Groqecus © pep Monto Pemins OX | € > SO | ‘exthoss000 mx DIF | @ Laptop MONTTOR. | ‘Adochshin?s | | © © kerahoss0 Be oF | @ Laptop MONITOR | 9636 | wale! |Grogeous © pep Montor ws Phen | (Ox e> SO Mentone +» AckGemini© © eeorc00 Be | oF Sear | AO 9M OHO noses # | Haoee@erceromed OCR
2026-06-14T20:57:13,Laptop Monitor - Google Chrome,© > © © kexahosts00 | @ Laptop MONITOR | 19 © comasoe X|Metcpetote— @ x] AMKeys: | orgs % © Uptep Mentor + Femi -93|€> | {© becahots000 Be OF Laptop M,"© > © © kexahosts00 | @ Laptop MONITOR | 19 © comasoe X|Metcpetote— @ x] AMKeys: | orgs % © Uptep Mentor + Femi -93|€> | {© becahots000 Be OF Laptop MONITOR 0: | 1 @ Mest op-0 © %| 8 Adres: croqcon% © Uptep | 1 Laptop MONTOR ewe 5 5P 5 $5 metanoieco| | © % | B Annes croqcous % © Uptep Mentor x + | Ptemi-9x| © keatostsoo0 ser oF |@ LAPTOP — | | © MONITOR 19686 | |e La | chamiendalou | I resenting) | = ""Se Sm je [AD NOHO noes #| | xahoss00 Be oF | @ Laptop MONITOR | 9636 | wale! |Grogeous © pep Montor ws Phen | [On> SO Menton AekGeminif © teas Be | oF Sear | Seach fr peopl | You ate presenting INTHE | MEETING [BA Beat et turer ne reed | Se) 20 1 sen | 1 © camassoeX| Met opetove— @ x 8 AMKe | ‘Groqecus © pep Monto Pemins OX | € > SO | ‘eathoss000 mx DF | @ Laptop MONTTOR. | ‘Adochshin?s | | No readable conten found | AO 9M OHO noses #"
2026-06-14T20:57:14,Laptop Monitor - Google Chrome,cA What | Meet-opetome — @ x | AMKeys-Groqaous © Laptop Monitor x + Prkemii - 9 x | © © tecahostso00 Be oF | @ Laptop MONITOR ° ony | Grogeous © pep M,cA What | Meet-opetome — @ x | AMKeys-Groqaous © Laptop Monitor x + Prkemii - 9 x | © © tecahostso00 Be oF | @ Laptop MONITOR ° ony | Grogeous © pep Montor ws Phemine OX|€> SO Mentors + *AskGeminix|© © tecaossc00 Be oF Sere or people You are presenting INTHE | ‘eathoss000 me DIF | @ Laptop MONITOR. 1@ taptop MONTTOR we 155585 metancieco| MEETING BA Beare et tre ens ed Sa) 51 sen | “Adorcheshin?s | | No ead contet found ano OX kore = @amcooge) se GE vote ag}om |_|. No readable conten found No readable conten found | {3598 PP me Se esta | PAAonadver>| Ohare Te Re | | T= @ryoite aake com 6 @ $2320 Vo | AO 9M OHO noses #
2026-06-14T20:57:15,Laptop Monitor - Google Chrome,¥) © cownassoe x © % |B AMees- croqcons % © Uptep Mentor x + Prkemii - 9 x | © © tecahostso00 Be oF | @ Laptop MONITOR 5 ony | No readoble content fun,¥) © cownassoe x © % |B AMees- croqcons % © Uptep Mentor x + Prkemii - 9 x | © © tecahostso00 Be oF | @ Laptop MONITOR 5 ony | No readoble content fund ano Ox kore = @amcooge) se.GE|woteag om LF |__Noreadable cote fund No eadoble content foun | {3528 PP meSe esta | PALonadvert>| Ohara Te Re | T= @Fyeite axe som 6 @ $2320 Voc
2026-06-14T20:57:16,Laptop Monitor - Google Chrome,cA What x © % |B AMees- croqcons % © Uptep Mentor x + | © © tecahostso00 | @ Laptop MONITOR | vor et mormon omoonncionmenis| | eraabicaetted vor eo | ,cA What x © % |B AMees- croqcons % © Uptep Mentor x + | © © tecahostso00 | @ Laptop MONITOR | vor et mormon omoonncionmenis| | eraabicaetted vor eo | Seven lmao ort a | AO 9M OHO noses # | BQ20B8@0C0%CHPOmMEMGER
2026-06-14T20:57:17,Laptop Monitor - Google Chrome,© Meet - eo. B pkey - Grogs | © © tecahostso00 | @ Laptop MONITOR | 19 © comnassoe X| Metcpetote— @ x | AMKeys | Gosia © Uptep Mentorx + Pksmil-9x €> ,"© Meet - eo. B pkey - Grogs | © © tecahostso00 | @ Laptop MONITOR | 19 © comnassoe X| Metcpetote— @ x | AMKeys | Gosia © Uptep Mentorx + Pksmil-9x €> © | Pte -93] © kowlhost S000 Ber OF | @ LAPTOP | MONITOR 19656 0 | meta | sctomiendoou | resenting) |=""Se Sm je [RO 9 NOHO nose | | © 5B Mees: roqcns % © Upp Mentors + | Prkems 93] > © beshoss0 Be 0 | Laptop | ‘51 © Uptep Mentors Phikemins = 0 | mx OF 10 | Sere or poopie | ou ae presenting INTHE | [MEETING [BA Beare turer ene reed Se) as sen | ‘16 camassoe X| Met opetove— @ xB AMKe | Gogcous % © pep Montor ws Peri OX |€> SO | ‘eathoss000 me DF @ Laptop MONITOR. | x] @ Meet. op-¢ © %| 8 AMres-roqcon% © Uptep | Mentors + «Ask Gemini x] © © techostsc00 Be oF | 1 taptop MONITOR ewe | 5 5 $5 metaoieo | | 3636 | ‘wale! | Grogeous © pep Mentor ws Phorin | (OK(> SO Mentone +» Akeni © toss Be | oF Seer | ‘an80G0""8 meuwcera AO 9 NOHO oso #"
2026-06-14T20:57:18,Laptop Monitor - Google Chrome,rd X |B Met-opetome — @ x | B pkey - Grogs % © Uptep Mentor x + + Ask Gemini o | © > © © kexahosts00 Be oF | @ Laptop MONITOR * 9600 | © % B AMees-rog,"rd X |B Met-opetome — @ x | B pkey - Grogs % © Uptep Mentor x + + Ask Gemini o | © > © © kexahosts00 Be oF | @ Laptop MONITOR * 9600 | © % B AMees-rogcons % © Uptep Mntorx + | 1 © comaioe X| Met.cptote— @ x| AMKeye Prtemii-9:] © kelhostso00 Ber OF |@ LAPTOP | © > © © kexahoss00 Be oF | @ Laptop MONITOR ¢ | Prkems-9x] > © beshos00 Be oF 1@ Laptop Gosjaus © Uptep Mentors Pismil-9x|€> © | MONITOR 1966 fe me La|schamiendaou '9636[ “ale! Grogeous © pep Mentor ws Phim | MONITOR [Penn © keaboss00 Ber FOLAPTOP © becaosts00 Be OF Laptop MONITOR O:<5a|| | testing) | = ""Sem je AO9 NOHO noses # | ‘OR(> SO Mentone» Ask Geminis © teozso0 Be | ©1MoNTO e Bas oF Sear | eofmomed OCs | AO 9M OHO noses #"
